id,allImagesRatingData,allImagesRatingPercentage,allImagesRatingPercentageZeroToHundred
0,1.4,100.0,100.0,"['1', '1', '1', '1', '1']"
1,1.3935483870967742,99.53917050691244,98.33333333333336,"['1', '1', '1', '2', '2']"
2,1.3806451612903228,98.61751152073734,95.00000000000007,"['1', '1', '1', '3', '3']"
3,1.4,100.0,100.0,"['1', '1', '2', '1', '2']"
4,1.3935483870967742,99.53917050691244,98.33333333333336,"['1', '1', '2', '2', '1']"
5,1.3806451612903228,98.61751152073734,95.00000000000007,"['1', '1', '2', '4', '3']"
6,1.3935483870967742,99.53917050691244,98.33333333333336,"['1', '1', '3', '1', '3']"
7,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '1', '3', '3', '1']"
8,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '1', '3', '4', '2']"
9,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '1', '4', '2', '3']"
10,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '1', '4', '3', '2']"
11,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '1', '4', '4', '1']"
12,1.4,100.0,100.0,"['1', '2', '1', '1', '2']"
13,1.3935483870967742,99.53917050691244,98.33333333333336,"['1', '2', '1', '2', '1']"
14,1.3806451612903228,98.61751152073734,95.00000000000007,"['1', '2', '1', '4', '3']"
15,1.4,100.0,100.0,"['1', '2', '2', '1', '1']"
16,1.3935483870967742,99.53917050691244,98.33333333333336,"['1', '2', '2', '2', '2']"
17,1.3806451612903228,98.61751152073734,95.00000000000007,"['1', '2', '2', '3', '3']"
18,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '2', '3', '2', '3']"
19,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '2', '3', '3', '2']"
20,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '2', '3', '4', '1']"
21,1.3935483870967742,99.53917050691244,98.33333333333336,"['1', '2', '4', '1', '3']"
22,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '2', '4', '3', '1']"
23,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '2', '4', '4', '2']"
24,1.3935483870967742,99.53917050691244,98.33333333333336,"['1', '3', '1', '1', '3']"
25,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '3', '1', '3', '1']"
26,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '3', '1', '4', '2']"
27,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '3', '2', '2', '3']"
28,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '3', '2', '3', '2']"
29,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '3', '2', '4', '1']"
30,1.4,100.0,100.0,"['1', '3', '3', '1', '1']"
31,1.3935483870967742,99.53917050691244,98.33333333333336,"['1', '3', '3', '2', '2']"
32,1.3806451612903228,98.61751152073734,95.00000000000007,"['1', '3', '3', '3', '3']"
33,1.4,100.0,100.0,"['1', '3', '4', '1', '2']"
34,1.3935483870967742,99.53917050691244,98.33333333333336,"['1', '3', '4', '2', '1']"
35,1.3806451612903228,98.61751152073734,95.00000000000007,"['1', '3', '4', '4', '3']"
36,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '4', '1', '2', '3']"
37,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '4', '1', '3', '2']"
38,1.3870967741935485,99.0783410138249,96.66666666666673,"['1', '4', '1', '4', '1']"
39,1.3935483870967742,99.53917050691244,98.33333333333336,"['1', '4', '2', '1', '3']"
